adapter,status,successes,failures,success_rate,source_reports,sample_url,notes
AlbanyGovernmentLawReviewAdapter,locked,613,22,0.965,1,,
AlbanyLawJournalScienceTechAdapter,locked,544,21,0.963,1,,
AlbanyLawReviewAdapter,locked,1828,23,0.988,1,,
AppalachianJournalLawAdapter,locked,62,0,1.000,1,,
BerkeleyBTLJAdapter,locked,3709,47,0.987,1,,
ColoradoCTLJAdapter,locked,62,0,1.000,1,,
ColumbiaSTLRAdapter,locked,1297,0,1.000,2,https://journals.library.columbia.edu/index.php/cjrl/article/view/14059,
DigitalCommonsAdapter,candidate,1,0,1.000,1,https://scholarlycommons.law.northwestern.edu/njihr/vol1/iss1/1,
DigitalCommonsBaseAdapter,locked,3231,88,0.973,1,,
DrupalAdapter,candidate,2,3,0.400,4,https://legal-forum.uchicago.edu/print-archive/emergencies-alien-and-domestic,
GenericAdapter,locked,7302,1473,0.832,2,https://dltr.law.duke.edu/wp-content/uploads/sites/10/2025/10/2025-26-DLTR-Masthead-Final.pdf,
GeorgetownGLTRAdapter,locked,127,2,0.984,1,,
HarvardJOLTAdapter,locked,37442,333,0.991,1,,
IllinoisJLTPAdapter,candidate,0,1,0.000,1,,
OJSAdapter,locked,4580,31,0.993,1,,
RichmondJOLTAdapter,locked,795,73,0.916,1,,
ScholasticaBaseAdapter,locked,5013,205,0.961,1,,
StanfordSTLRAdapter,locked,86,0,1.000,2,https://law.stanford.edu/wp-content/uploads/2026/01/Robertson-The-Pig-Brain-sized-Loophole-in-Neuroscience-Research.pdf,
VirginiaJOLTAdapter,locked,30,0,1.000,1,,
WUSTLJournalsAdapter,candidate,14,0,1.000,1,,
WordPressAcademicBaseAdapter,locked,30653,6631,0.822,2,https://journals.law.harvard.edu/crcl/vol-60-no-2-summer-2025/,
YaleJOLTAdapter,locked,353,0,1.000,1,,
